book_name,img_src,price
 Python编程 从入门到实践 第2版 零基础学Python编程教程书籍，数据分析、网络爬虫、深度学习必备技能，畅销经典蟒蛇书升级版，附赠源代码、练习答案、学习视频、配套编程环境、学习速查地图读者交流群等资源。,//img3m0.ddimg.cn/67/4/24003310-1_b_10.jpg,62.3
" Python编程 从入门到实践 第2版 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 978711554608 正版书籍，质量保证，电子发票，有任何问题可联系在线客服。",images/model/guan/url_none.png,82.77
 Python编程从入门到实践*2二版 编程入门零基础自学核心编程教程书籍 数据分析网络爬虫深度学习语言程序设计蟒蛇书 埃 ,images/model/guan/url_none.png,85.0
 Python编程从入门到实践*2二版 编程入门零基础自学核心编程教程书籍 数据分析网络爬虫深度学习语言程序设计蟒蛇书 埃 ,images/model/guan/url_none.png,86.0
" Python编程 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 ",images/model/guan/url_none.png,86.33
 现货 Python编程 从入门到实践 第2版 ,images/model/guan/url_none.png,63.62
 现货 Python编程 从入门到实践 第2版 ,images/model/guan/url_none.png,89.71
 现货 Python编程 从入门到实践 第2版 ,images/model/guan/url_none.png,89.0
 Python编程 从入门到实践 第2版 ,images/model/guan/url_none.png,52.51
 Python编程 从入门到实践 第2版 ,images/model/guan/url_none.png,64.1
 PYthon编程从入门到实践 ,images/model/guan/url_none.png,57.85
" 【正版清仓】Python编程 从入门到实践 第2版 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 978711 ",images/model/guan/url_none.png,62.3
 Python编程 从入门到实践 第2版 [美]埃里克・马瑟斯（Eric Matthes） ,images/model/guan/url_none.png,68.5
 2020新版Python编程从入门到实践python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础教材pyth ,images/model/guan/url_none.png,81.0
" 正版促销-Python编程 从入门到实践 第2版[美]埃里克・马瑟斯（EricMatthes）,袁国忠 97871155 正版图书",images/model/guan/url_none.png,57.85
" Python编程 从入门到实践 第2版-正版促销-[美]埃里克・马瑟斯（EricMatthes）,袁国忠 9787115 正版图书",images/model/guan/url_none.png,57.85
" [现货] Python编程 从入门到实践 第2版 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 9787115 ",images/model/guan/url_none.png,65.67
 Python编程从入门到实践 python数据分析网络爬虫开发实战 程序员编程入门书籍计算机程序设计零基础python基 ,images/model/guan/url_none.png,58.0
" Python编程 从入门到实践 第2版(图灵出品) [美]埃里克・马瑟斯（EricMatthes）,袁国忠 978711 全新正版图书",images/model/guan/url_none.png,65.9
" 【正版新书】Python编程 从入门到实践 第2版(图灵出品) [美]埃里克・马瑟斯（EricMatthes）,袁国忠 ",images/model/guan/url_none.png,84.55
 Python编程从入门到实践第二版python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础教材python基 ,images/model/guan/url_none.png,84.84
 预售 Python编程 从入门到实践 第2版 python3编程从入门到实战程序设计基础从入门到精通python核心编程 ,images/model/guan/url_none.png,120.15
" Python编程 从入门到实践 第2版(图灵出品) [美]埃里克・马瑟斯（EricMatthes）,袁国忠 人民邮电出版 ",images/model/guan/url_none.png,64.97
" PYthon编程从入门到实践 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 ",images/model/guan/url_none.png,61.41
" Python编程 从入门到实践 第2版 [美]埃里克・马瑟斯（EricMatthes）,袁国忠 978711554608 ",images/model/guan/url_none.png,58.74
" 【R】Python编程 从入门到实践 第2版 埃里克马瑟斯（EricMatthes）,袁国忠 ",images/model/guan/url_none.png,88.17
" Python编程 从入门到实践 第2版(图灵出品) [美]埃里克・马瑟斯（EricMatthes）,袁国忠 978711 全新正版图书",images/model/guan/url_none.png,65.0
 2020新版 Python编程从入门到实践python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础pytho ,images/model/guan/url_none.png,88.96
 预售 Python编程 从入门到实践 第2版 python3编程从入门到实战程序设计基础从入门到精通python核心编程 ,images/model/guan/url_none.png,59.0
 Python编程从入门到实践第2版 [美]埃里克・马瑟斯（EricMatthes） 著 袁国忠 译 专业科技 人民邮电出 ,images/model/guan/url_none.png,77.44
 Python编程从入门到实践第2版 [美]埃里克・马瑟斯（EricMatthes） 著 袁国忠 译 专业科技 人民邮电出 ,images/model/guan/url_none.png,55.0
 Python编程从入门到实践 第2版 编程入门类图书 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 ,images/model/guan/url_none.png,88.82
 Python编程：从入门到实践(第2版),images/model/guan/url_none.png,0.0
 Python编程从入门到实践 python数据分析网络爬虫开发实战 程序员编程入门书籍计算机程序设计零基础教材pytho ,images/model/guan/url_none.png,90.18
 【正版现货】Python编程三剑客：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装共3册）Pytho Python编程畅销经典套装，Python入门零基础自学教程书籍，Python项,images/model/guan/url_none.png,137.0
 2020新版】Python编程从入门到实践python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础教材pyt ,images/model/guan/url_none.png,89.0
" Python编程 从入门到实践 第2版(图灵出品) [美]埃里克马瑟斯（EricMatthes）,袁国忠 [正版书籍,下单速发,下单前请联系客服查询书籍库存]",images/model/guan/url_none.png,63.7
 【正版】Python编程从入门到实践第二版python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础教材pyt ,images/model/guan/url_none.png,82.21
 Python编程 从入门到实践 第2版（百万册纪念版） ,images/model/guan/url_none.png,84.55
 Python编程 从入门到实践 第2版（百万册纪念版） ,images/model/guan/url_none.png,77.96
 Python编程 从入门到实践 第2版 埃里克 马瑟斯 EricMatthes 袁国忠 人民邮电出版社 [现货速发，可开电子发票，套装书籍请与在线客服核实后下单],images/model/guan/url_none.png,89.14
 2020新版 Python编程从入门到实践第2版二版 python3编程从入门到实战程序设计基础到精通python核心编 全新正版,images/model/guan/url_none.png,82.5
 Python编程:从入门到实践n 数量大咨询客服有优惠 正版,images/model/guan/url_none.png,109.8
 Python编程从入门到实践*2二版 编程入门零基础自学核心编程教程书籍 数据分析网络爬虫深度学习语 官方正版 出版社直发,images/model/guan/url_none.png,82.4
" Python编程 从入门到实践 第2版(图灵出品) [美]埃里克马瑟斯（EricMatthes）,袁国忠 人民邮电出版社 【正版图书，可开发票，下单前请联系客服查询书籍库存】",images/model/guan/url_none.png,54.91
 Python编程 从入门到实践(第2版) (美)埃里克・马瑟斯 著 袁国忠 译 预售，建议单独下单，新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！预计到货：2021年07月21日,images/model/guan/url_none.png,85.6
 Python编程 从入门到实践(第2版) 人民邮电出版社 预售，建议单独下单，新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！预计到货：2021年07月21日,images/model/guan/url_none.png,90.0
 Python编程 从入门到实践(第2版) 人民邮电出版社 预售，建议单独下单，新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！预计到货：2021年07月21日,images/model/guan/url_none.png,90.0
 Python编程从入门到实践 第2版 编程入门类图书 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 Amazon编程入门类榜首图书,images/model/guan/url_none.png,90.0
 Python编程 从入门到实践 第2版(图灵出品) ,images/model/guan/url_none.png,119.71
 【赠程序员面试手册】python编程从入门到实践第二版3.x零基础 Python教程自学快速上手语言程序设计网络数据结构 ,images/model/guan/url_none.png,89.0
 2020新版】Python编程从入门到实践python数据分析网络爬虫开发实战编程入门书籍计算机程序设计零基础教材pyt 部分书籍卖价高于定价，介者慎拍,images/model/guan/url_none.png,89.0
 Python编程 从入门到实践 第2版(图灵出品) ,images/model/guan/url_none.png,88.0
 Python编程从入门到实践第2版 Python3.5语言程序python3数据分析实战计算机编程入门网络爬虫开发零基础 ,images/model/guan/url_none.png,100.97
 Python编程从入门到实践第2版 计算机编程入门精通教程基础自学深度学习数据分析语言程序设计开发网络爬虫教材书籍 ,images/model/guan/url_none.png,109.44
 Python编程从入门到实践 第2版 编程入门类图书 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 ,images/model/guan/url_none.png,87.58
 Python编程 从入门到实践 第2版 源代码文件+视频讲解+配套编程环境零基础自学Python网络爬虫开发零基础计算机 ,images/model/guan/url_none.png,79.0
 Python编程从入门到实践 第2版 编程入门类图书 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 ,images/model/guan/url_none.png,88.0
 Python编程从入门到实践 python数据分析网络爬虫开发实战 程序员编程入门书籍计算机程序设计零基础教材pytho ,images/model/guan/url_none.png,85.5
 Python编程从入门到实践 第2版 编程入门类图书 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 ,images/model/guan/url_none.png,90.84
