importedCase,suspect,dead,heal,confirm,nowConfirm,date
5890,1,4860,98687,105044,1497,2021-05-18
5901,1,4860,98711,105330,1759,2021-05-19
5925,1,4861,98729,105647,2057,2021-05-20
5934,3,4861,98746,105972,2365,2021-05-21
5952,2,4863,98754,106715,3098,2021-05-22
5970,3,4869,98765,107195,3561,2021-05-23
5983,3,4875,98789,107807,4143,2021-05-24
5995,2,4881,98805,108361,4675,2021-05-25
6012,2,4892,98818,109016,5306,2021-05-26
6019,3,4905,98840,109693,5948,2021-05-27
6033,2,4924,98859,110263,6480,2021-05-28
6044,2,4945,98870,110766,6951,2021-05-29
6051,2,4955,98889,111147,7303,2021-05-30
6063,2,4970,98903,111525,7652,2021-05-31
6077,2,4983,98921,111887,7983,2021-06-01
6086,2,4995,98928,112458,8535,2021-06-02
6101,2,5012,98946,113068,9110,2021-06-03
6114,3,5033,98958,113565,9574,2021-06-04
6137,4,5070,98987,114106,10049,2021-06-05
6151,2,5106,98996,114474,10372,2021-06-06
6165,2,5132,99023,114707,10552,2021-06-07
6173,11,5154,99035,114929,10740,2021-06-08
6188,11,5179,99056,115229,10994,2021-06-09
6201,10,5207,99071,115507,11229,2021-06-10
6228,10,5231,99089,115820,11500,2021-06-11
6256,2,5257,99112,116103,11734,2021-06-12
6275,2,5283,99126,116301,11892,2021-06-13
6293,2,5298,99136,116507,12073,2021-06-14
6314,3,5306,99153,116665,12206,2021-06-15
6329,1,5324,99169,116853,12360,2021-06-16
6351,1,5343,99184,117051,12524,2021-06-17
6375,1,5364,99217,117272,12691,2021-06-18
6398,1,5384,99237,117421,12800,2021-06-19
6414,1,5395,99247,117548,12906,2021-06-20
6437,1,5415,105682,117651,6554,2021-06-21
6461,1,5421,106259,117759,6079,2021-06-22
6477,2,5445,107252,117880,5183,2021-06-23
6501,9,5451,107531,118040,5058,2021-06-24
6526,0,5456,107930,118145,4759,2021-06-25
6540,0,5469,108225,118241,4547,2021-06-26
6561,1,5478,108247,118358,4633,2021-06-27
6579,1,5481,108269,118439,4689,2021-06-28
6588,0,5490,108454,118503,4559,2021-06-29
6600,0,5495,108595,118573,4483,2021-06-30
6618,1,5508,108726,118644,4410,2021-07-01
6641,7,5523,108797,118736,4416,2021-07-02
6655,3,5533,109019,118832,4280,2021-07-03
6674,3,5535,109360,118896,4001,2021-07-04
6694,1,5537,109535,118951,3879,2021-07-05
6736,5,5554,109729,119036,3753,2021-07-06
6751,4,5563,109856,119094,3675,2021-07-07
6766,3,5566,110059,119141,3516,2021-07-08
6785,2,5578,110155,119204,3471,2021-07-09
6797,3,5584,110340,119262,3338,2021-07-10
6815,4,5588,110462,119321,3271,2021-07-11
6842,3,5589,110532,119374,3253,2021-07-12
6865,2,5595,110601,119428,3232,2021-07-13
6888,2,5601,110691,119485,3193,2021-07-14
6924,0,5607,110822,119539,3110,2021-07-15
6952,0,5611,110900,119602,3091,2021-07-16
