provinceName,nowConfirm,confirmAdd,dead,heal,zero
辽宁,0,0,0,0,3
内蒙古,0,0,0,0,4
安徽,0,0,0,0,16
浙江,2,2,0,0,0
青海,0,0,0,0,527
四川,-3,0,0,3,1
广东,-7,1,0,8,0
新疆,0,0,0,0,253
河北,0,0,0,0,152
河南,0,0,0,0,0
湖南,5,5,0,0,0
福建,0,0,0,0,2
天津,0,0,0,0,0
江苏,0,0,0,0,0
江西,0,0,0,0,112
澳门,0,0,0,0,13
贵州,0,0,0,0,475
宁夏,0,0,0,0,69
山西,-1,0,0,1,53
广西,0,0,0,0,6
陕西,0,0,0,0,0
上海,-2,3,0,5,0
海南,0,0,0,0,78
重庆,0,0,0,0,11
黑龙江,0,0,0,0,54
云南,8,13,0,5,0
台湾,-20,32,4,48,0
吉林,0,0,0,0,160
北京,0,0,0,0,4
湖北,0,0,0,0,4
西藏,0,0,0,0,533
山东,0,0,0,0,60
甘肃,0,0,0,0,22
香港,-1,1,0,2,0
